MLS,Location,Price,Bedrooms,Bathrooms,Size,Status
132842,Arroyo Grande,795000,3,3,2371,Short Sale
134364,Paso Robles,399000,4,3,2818,Short Sale
135141,Paso Robles,545000,4,3,3032,Short Sale
135712,Morro Bay,909000,4,4,3540,Short Sale
136282,Santa Maria-Orcutt,109900,3,1,1249,Short Sale
136431,Oceano,324900,3,3,1800,Short Sale
137036,Santa Maria-Orcutt,192900,4,2,1603,Short Sale
137090,Santa Maria-Orcutt,215000,3,2,1450,Short Sale
137159,Morro Bay,999000,4,3,3360,Short Sale
137570,Atascadero,319000,3,2,1323,Short Sale
138053,Santa Maria-Orcutt,350000,3,2,1750,Short Sale
138730,Santa Maria-Orcutt,249000,3,2,1400,Short Sale
139291,Arroyo Grande,299000,2,2,1257,Short Sale
139427,Santa Maria-Orcutt,235900,3,2,1400,Short Sale
139461,Santa Maria-Orcutt,348000,3,2,1600,Short Sale
139661,Paso Robles,314000,4,3,1794,Short Sale
139918,Los Alamos,399000,4,2,1850,Short Sale
139932,San Miguel,599000,3,3,2950,Short Sale
140044,Paso Robles,299000,3,2,1719,Short Sale
140073,San Luis Obispo,425000,3,3,1472,Short Sale
140077,Morro Bay,1100000,4,3,4168,Short Sale
140080,Cayucos,1500000,3,3,3880,Short Sale
140113,Santa Maria-Orcutt,110000,2,1,1000,Short Sale
140395,Santa Maria-Orcutt,200000,3,2,1139,Short Sale
140460,Santa Maria-Orcutt,134900,3,1,1080,Short Sale
140703,Santa Maria-Orcutt,250000,4,3,2000,Short Sale
140720,Pismo Beach,950000,3,4,1920,Short Sale
140731,Santa Maria-Orcutt,239950,4,2,1348,Short Sale
141188,Santa Maria-Orcutt,170000,3,2,1280,Short Sale
141212,Santa Maria-Orcutt,285000,3,2,2400,Short Sale
141232,Santa Maria-Orcutt,279000,3,3,1700,Short Sale
141529,Santa Maria-Orcutt,219000,3,2,1600,Short Sale
141541,Santa Maria-Orcutt,155000,3,2,1050,Short Sale
141737,Atascadero,389000,3,2,1415,Short Sale
141847,Nipomo,340000,3,1,1110,Short Sale
141869,Guadalupe,95000,2,1,797,Short Sale
142216,Santa Maria-Orcutt,140000,2,2,1100,Short Sale
142340,Pismo Beach,1100000,3,3,2602,Short Sale
142442,Santa Maria-Orcutt,360000,4,3,2351,Short Sale
142528,Morro Bay,415000,3,3,1350,Short Sale
142539,Santa Maria-Orcutt,250000,4,2,1206,Short Sale
142585,Santa Maria-Orcutt,559000,3,3,2628,Short Sale
142818,Nipomo,525000,3,3,2365,Short Sale
142829,Los Osos,779000,3,3,2990,Short Sale
142870,Arroyo Grande,595000,3,2,1750,Short Sale
142977,Templeton,1150000,4,5,5500,Short Sale
143037,Templeton,550000,3,2,1852,Short Sale
143155,Grover Beach,500000,3,2,2100,Short Sale
143170,Santa Maria-Orcutt,279000,4,3,2580,Short Sale
143178,Santa Maria-Orcutt,375000,4,2,1963,Short Sale
143217,Santa Maria-Orcutt,330000,3,3,1900,Short Sale
143252,Santa Maria-Orcutt,199000,3,3,1450,Short Sale
143255,Santa Maria-Orcutt,165000,2,2,1000,Short Sale
143436,Templeton,1399000,4,3,6500,Foreclosure
143507,Santa Maria-Orcutt,255000,3,2,1218,Short Sale
143524,Cambria,325000,2,2,893,Short Sale
143534,Morro Bay,789000,3,3,2100,Foreclosure
143540,Nipomo,498000,4,3,2341,Short Sale
143884,Nipomo,430000,4,2,2168,Short Sale
143946,Paso Robles,539900,4,3,3032,Short Sale
144204,Pismo Beach,499000,3,2,1293,Short Sale
144238,Los Osos,275000,3,2,1200,Short Sale
144312,Santa Maria-Orcutt,499000,3,4,2250,Short Sale
144314,Morro Bay,899000,3,3,2430,Foreclosure
144316,Morro Bay,1045000,3,3,2100,Foreclosure
144318,Morro Bay,774000,2,2,1550,Foreclosure
144370,Santa Maria-Orcutt,239000,3,3,1800,Short Sale
144380,Santa Maria-Orcutt,195000,3,2,1218,Short Sale
144788,Grover Beach,325000,2,1,768,Short Sale
144815,Nipomo,320000,4,2,1929,Short Sale
144896,Santa Maria-Orcutt,275000,4,3,1877,Short Sale
145087,Paso Robles,329000,3,2,1700,Short Sale
145138,Santa Maria-Orcutt,140000,3,2,1080,Short Sale
145309,Paso Robles,409000,4,3,2192,Short Sale
145448,Santa Maria-Orcutt,167900,3,2,1296,Foreclosure
145471,Nipomo,325000,7,5,2688,Short Sale
145726,Santa Maria-Orcutt,119000,1,1,900,Short Sale
145745,Santa Maria-Orcutt,245000,4,2,1482,Short Sale
145789,Santa Maria-Orcutt,259900,3,2,1726,Short Sale
145850,Arroyo Grande,495000,3,2,1486,Short Sale
145952,San Luis Obispo,399000,4,2,1543,Short Sale
146040,Santa Maria-Orcutt,329700,4,2,1367,Short Sale
146110,Atascadero,199000,1,1,712,Short Sale
146130,Santa Maria-Orcutt,149000,3,2,1040,Short Sale
146144,Paso Robles,225000,3,2,1456,Short Sale
146149,Santa Maria-Orcutt,195000,2,1,811,Short Sale
146212,Paso Robles,359900,3,3,1951,Short Sale
146223,Templeton,799000,4,4,3100,Short Sale
146282,San Luis Obispo,595000,3,2,2117,Short Sale
146302,Paso Robles,89000,3,2,1560,Short Sale
146310,Santa Maria-Orcutt,129900,3,1,1042,Short Sale
146320,Los Osos,375000,3,3,1519,Short Sale
146423,Atascadero,599000,3,2,2774,Short Sale
146496,Paso Robles,235000,3,2,1340,Short Sale
146537,Santa Maria-Orcutt,255900,3,2,1440,Foreclosure
146544,Santa Maria-Orcutt,148900,5,2,1064,Short Sale
146581,Arroyo Grande,749000,3,2,2145,Short Sale
146597,Santa Maria-Orcutt,189900,3,2,1472,Foreclosure
146649,Paso Robles,183000,3,1,888,Short Sale
146667,Santa Maria-Orcutt,232600,3,3,1582,Short Sale
146773,Cambria,520000,3,2,1680,Short Sale
146790,Solvang,355000,3,3,1702,Foreclosure
146797,Pismo Beach,275000,0,1,398,Short Sale
146888,Santa Maria-Orcutt,225000,4,3,1940,Short Sale
146986,Santa Maria-Orcutt,161900,3,2,1200,Short Sale
147094,Santa Maria-Orcutt,249999,3,3,2013,Short Sale
147167,Santa Maria-Orcutt,208000,2,1,1267,Short Sale
147214,Guadalupe,135000,3,1,1100,Short Sale
147216,San Luis Obispo,385000,2,3,1389,Short Sale
147240,Atascadero,750000,4,4,3387,Foreclosure
147241,Atascadero,810000,4,3,3305,Foreclosure
147249,Atascadero,890000,4,5,4229,Foreclosure
147253,Atascadero,895000,4,3,3676,Foreclosure
147374,San Miguel,229900,3,2,1458,Short Sale
147440,Grover Beach,240000,2,2,1020,Short Sale
147450,Atascadero,429000,4,3,2513,Foreclosure
147570,Santa Maria-Orcutt,399000,4,3,2800,Short Sale
147586,Santa Maria-Orcutt,385000,3,2,2000,Short Sale
147603,Paso Robles,294900,3,2,1316,Foreclosure
147611,Paso Robles,399000,3,2,1220,Short Sale
147620,Santa Maria-Orcutt,269000,3,3,1780,Short Sale
147654,Cambria,449000,3,3,2120,Short Sale
147761,Arroyo Grande,555900,5,3,2947,Foreclosure
147767,Paso Robles,319900,4,2,2135,Foreclosure
147819,Cambria,332000,4,4,1872,Foreclosure
147876,Bradley,499000,4,5,3400,Short Sale
147948,Paso Robles,432000,4,3,3113,Short Sale
148070,Arroyo Grande,199000,2,1,827,Short Sale
148168,Santa Maria-Orcutt,29000,2,2,1500,Foreclosure
148195,Atascadero,299000,3,2,1270,Short Sale
148289,Santa Maria-Orcutt,259000,4,3,1857,Short Sale
148318,Los Osos,99000,1,1,538,Short Sale
148324,Avila Beach,779000,2,2,1223,Foreclosure
148325,Avila Beach,839000,2,2,1223,Foreclosure
148384,Santa Ynez,525000,3,2,1746,Short Sale
148399,Santa Ynez,795000,3,2,2092,Short Sale
148472,Santa Maria-Orcutt,337000,4,2,2000,Short Sale
148519,Oceano,164900,2,1,750,Foreclosure
148622,San Luis Obispo,449000,2,3,1650,Short Sale
148624,Guadalupe,94000,2,2,797,Foreclosure
148638,Pismo Beach,899000,3,3,2266,Short Sale
148736,Santa Maria-Orcutt,180000,3,2,1280,Short Sale
148744,Bradley,194900,3,2,1092,Foreclosure
148757,Los Osos,350000,3,2,1509,Short Sale
148806,King City,167770,3,3,1793,Foreclosure
148842,Creston,309900,3,2,1705,Foreclosure
148881,Templeton,479000,2,3,2100,Short Sale
148961,Los Alamos,350000,3,2,1582,Short Sale
149001,Grover Beach,350000,3,2,1470,Short Sale
149024,Santa Maria-Orcutt,275000,3,2,1424,Short Sale
149039,Paso Robles,379000,4,3,2277,Short Sale
149069,King City,155900,4,2,3368,Foreclosure
149105,San Miguel,229000,3,2,1458,Short Sale
149193,Pismo Beach,604995,2,3,1749,Foreclosure
149207,Pismo Beach,599000,3,3,1996,Short Sale
149230,Morro Bay,359000,3,2,1008,Short Sale
149275,Lompoc,199000,4,2,1527,Foreclosure
149287,Paso Robles,164900,3,2,1440,Short Sale
149307,Coalinga,179000,3,2,1815,Short Sale
149317,Paso Robles,370000,4,2,2064,Short Sale
149324,Santa Ynez,999000,5,4,2402,Short Sale
149369,Paso Robles,365000,3,3,2136,Short Sale
149401,San Miguel,345000,3,2,1498,Short Sale
149412,Paso Robles,299000,2,1,1068,Short Sale
149439,Pismo Beach,519500,2,1,634,Short Sale
149470,Buellton,645000,4,4,3000,Short Sale
149482,Santa Maria-Orcutt,242500,3,2,1218,Foreclosure
149514,Santa Maria-Orcutt,259900,3,3,1300,Short Sale
149604,Santa Maria-Orcutt,310000,4,3,2014,Short Sale
149612,Atascadero,450000,2,2,1463,Short Sale
149615,Santa Maria-Orcutt,220000,2,2,1541,Short Sale
149616,San Luis Obispo,585000,3,2,1268,Short Sale
149633,Santa Maria-Orcutt,324000,5,4,2400,Short Sale
149666,Cambria,375000,1,1,551,Short Sale
149700,Paso Robles,329000,3,2,1420,Short Sale
149752,Paso Robles,599900,5,3,2764,Foreclosure
149791,Santa Maria-Orcutt,74900,2,2,1014,Short Sale
149797,Los Osos,285000,3,2,1120,Short Sale
149813,Santa Maria-Orcutt,751900,3,3,3400,Foreclosure
149829,Santa Maria-Orcutt,295000,3,2,1386,Short Sale
149839,Coalinga,170000,3,2,1320,Short Sale
149841,Santa Maria-Orcutt,197000,3,2,1376,Short Sale
149860,Oceano,1250000,3,3,2586,Short Sale
149864,Paso Robles,249000,3,2,1662,Short Sale
149869,Nipomo,179000,2,2,1033,Short Sale
149877,Santa Maria-Orcutt,132000,3,1,1050,Short Sale
149882,Lockwood,425000,3,2,1500,Short Sale
149890,Santa Maria-Orcutt,290000,5,3,2500,Short Sale
149909,Los Osos,150000,2,2,896,Short Sale
149911,Los Osos,150000,2,2,896,Short Sale
149914,Los Osos,150000,2,2,896,Short Sale
149915,Los Osos,150000,2,2,896,Short Sale
149916,Los Osos,150000,2,2,896,Short Sale
149917,Los Osos,205000,2,2,1388,Short Sale
149919,Atascadero,599000,4,3,3120,Short Sale
149922,Paso Robles,269000,3,3,1352,Short Sale
149948,Santa Maria-Orcutt,249000,4,3,1963,Short Sale
149956,Santa Maria-Orcutt,235000,3,3,1541,Short Sale
149961,Grover Beach,469000,4,3,2449,Foreclosure
149989,Nipomo,159000,4,2,1660,Short Sale
149994,King City,69900,3,1,936,Foreclosure
150143,Arroyo Grande,1499000,5,7,6800,Short Sale
150194,Atascadero,239000,3,2,1022,Short Sale
150199,Atascadero,399500,3,2,1665,Short Sale
150240,Paso Robles,299900,3,2,1209,Foreclosure
150256,Lompoc,275000,3,2,1700,Short Sale
150262,Morro Bay,395000,4,2,1736,Short Sale
150283,Santa Maria-Orcutt,105000,1,1,731,Short Sale
150290,Santa Maria-Orcutt,179999,3,2,1086,Short Sale
150294,Santa Maria-Orcutt,219000,3,2,1131,Short Sale
150308,Solvang,325000,3,3,1500,Short Sale
150317,Atascadero,829900,4,3,3827,Short Sale
150335,Santa Maria-Orcutt,165000,2,1,1100,Short Sale
150360,Santa Maria-Orcutt,179000,3,2,1398,Short Sale
150390,Paso Robles,279000,3,2,1381,Short Sale
150392,Atascadero,820000,4,4,3387,Foreclosure
150394,Paso Robles,399000,2,1,1250,Short Sale
150407,San Miguel,164900,3,1,965,Short Sale
150424,Santa Maria-Orcutt,235000,4,2,1860,Short Sale
150439,Arroyo Grande,1900000,4,5,5411,Short Sale
150455,Nipomo,289000,3,2,1367,Short Sale
150470,Paso Robles,355000,3,2,1640,Short Sale
150477,Santa Maria-Orcutt,199000,3,2,1269,Short Sale
150482,Santa Maria-Orcutt,209000,3,2,1275,Short Sale
150493,Lompoc,186900,3,1,912,Foreclosure
150501,Santa Maria-Orcutt,240000,4,2,1460,Short Sale
150513,Nipomo,515000,2,2,2000,Short Sale
150543,Santa Maria-Orcutt,215000,4,2,1750,Short Sale
150556,Santa Maria-Orcutt,399900,4,4,3050,Short Sale
150571,Paso Robles,369000,4,3,2371,Short Sale
150572,Paso Robles,250000,2,2,1292,Short Sale
150588,Paso Robles,259000,3,2,1640,Short Sale
150611,Santa Maria-Orcutt,180000,2,2,1082,Short Sale
150636,Solvang,399900,3,2,1522,Short Sale
150638,Arroyo Grande,385000,3,2,1535,Short Sale
150669,Santa Maria-Orcutt,154000,2,2,1100,Short Sale
150732,San Luis Obispo,254900,2,2,966,Foreclosure
150744,Paso Robles,315000,4,2,1653,Short Sale
150746,Santa Maria-Orcutt,437500,3,3,2523,Short Sale
150751,Santa Maria-Orcutt,299900,3,3,2511,Short Sale
150773,Arroyo Grande,399000,3,3,1772,Short Sale
150823,Paso Robles,330000,3,3,1889,Short Sale
150827,Arroyo Grande,279000,2,2,880,Short Sale
150844,Santa Maria-Orcutt,248000,3,2,1400,Short Sale
150857,Santa Maria-Orcutt,209000,3,3,1494,Short Sale
150879,Los Osos,729000,3,2,1844,Short Sale
150903,Atascadero,454500,4,3,1900,Foreclosure
150929,Paso Robles,249000,3,2,1176,Short Sale
150949,Nipomo,1700000,3,5,4463,Short Sale
150966,Grover Beach,349000,3,2,1635,Short Sale
150969,Grover Beach,575000,3,3,2095,Short Sale
150980,Santa Maria-Orcutt,185000,3,2,1300,Short Sale
150981,Santa Maria-Orcutt,165000,3,2,1200,Short Sale
150987,Morro Bay,311900,0,1,910,Foreclosure
151000,Santa Maria-Orcutt,175000,3,2,1600,Short Sale
151005,Lompoc,180000,4,2,1332,Short Sale
151009,Santa Maria-Orcutt,78000,2,2,1680,Short Sale
151021,Oceano,142900,2,1,1313,Foreclosure
151071,Atascadero,850000,4,4,3744,Foreclosure
151078,Paso Robles,389000,3,2,1998,Short Sale
151080,Santa Maria-Orcutt,641900,3,3,2714,Foreclosure
151083,Templeton,305000,4,2,1797,Short Sale
151084,Paso Robles,260000,3,3,1687,Short Sale
151085,Paso Robles,320000,3,2,1663,Short Sale
151097,Atascadero,199000,2,1,792,Short Sale
151107,Santa Maria-Orcutt,299000,2,2,1410,Short Sale
151114,Buellton,289000,2,2,1085,Short Sale
151126,Santa Maria-Orcutt,229900,3,3,1900,Short Sale
151138,Atascadero,865000,4,3,3305,Foreclosure
151186,Atascadero,900000,4,4,3962,Short Sale
151187,Atascadero,199000,2,3,1260,Short Sale
151213,Santa Maria-Orcutt,160000,2,3,1200,Short Sale
151227,Santa Maria-Orcutt,299000,3,3,2400,Short Sale
151228,Oceano,300000,3,3,1265,Short Sale
151232,Santa Maria-Orcutt,270000,4,2,1460,Short Sale
151246,Nipomo,490000,3,3,1894,Short Sale
151249,Santa Maria-Orcutt,295000,3,3,1800,Short Sale
151257,Paso Robles,225000,3,2,1550,Short Sale
151277,Atascadero,324900,2,2,1426,Short Sale
151293,Santa Maria-Orcutt,165000,3,2,1110,Short Sale
151296,Santa Maria-Orcutt,157900,3,2,1075,Short Sale
151304,Nipomo,299000,3,2,1756,Short Sale
151308,Paso Robles,369000,3,3,2150,Short Sale
151373,Santa Maria-Orcutt,233000,4,2,1650,Short Sale
151395,Santa Maria-Orcutt,109900,2,2,1200,Foreclosure
151402,Paso Robles,309000,3,2,1488,Short Sale
151419,Pismo Beach,1799000,4,4,3609,Foreclosure
151441,Santa Maria-Orcutt,209900,2,2,1113,Short Sale
151443,Solvang,499000,3,2,1600,Short Sale
151451,Arroyo Grande,525000,4,2,1961,Short Sale
151454,Los Osos,650000,3,3,3249,Short Sale
151470,Morro Bay,529000,3,3,1510,Short Sale
151498,Santa Maria-Orcutt,179000,3,2,1300,Short Sale
151521,Lompoc,282000,3,3,1736,Short Sale
151527,Templeton,899000,4,3,3008,Short Sale
151534,Santa Maria-Orcutt,130000,3,2,1850,Short Sale
151636,Santa Maria-Orcutt,205000,3,2,1146,Short Sale
151640,Santa Maria-Orcutt,180900,2,2,1100,Short Sale
151647,Atascadero,409900,4,4,2135,Short Sale
151648,Atascadero,409900,4,4,2135,Short Sale
151678,Grover Beach,469000,3,2,1827,Short Sale
151681,Arroyo Grande,289000,3,1,1005,Short Sale
151690,Santa Maria-Orcutt,99999,2,3,1800,Short Sale
151700,Santa Maria-Orcutt,445000,5,3,3307,Foreclosure
151711,Atascadero,640000,3,3,2160,Short Sale
151724,San Miguel,185000,3,2,1062,Short Sale
151732,Santa Maria-Orcutt,210000,4,2,1102,Short Sale
151772,Santa Maria-Orcutt,199900,3,2,1215,Short Sale
151805,Santa Maria-Orcutt,225000,3,2,1600,Short Sale
151816,Paso Robles,369900,4,2,2161,Foreclosure
151824,Santa Maria-Orcutt,120000,3,2,1686,Short Sale
151826,Paso Robles,199000,2,1,1000,Short Sale
151832,Arroyo Grande,520000,3,3,2600,Short Sale
151837,Paso Robles,579000,5,3,3150,Foreclosure
151854,Santa Maria-Orcutt,300000,4,2,1257,Short Sale
151857,Arroyo Grande,325000,3,2,1171,Short Sale
151864,Santa Maria-Orcutt,225000,3,2,1144,Short Sale
151870,Atascadero,395000,2,1,1160,Short Sale
151871,Santa Maria-Orcutt,399000,4,3,2300,Short Sale
151876,Lompoc,165000,3,2,1144,Short Sale
151882,Arroyo Grande,374900,3,2,1368,Short Sale
151903,Santa Maria-Orcutt,199900,3,2,1238,Short Sale
151913,Arroyo Grande,365000,3,1,1056,Short Sale
151925,Santa Maria-Orcutt,222900,2,2,1086,Short Sale
151932,Los Osos,249900,2,1,720,Foreclosure
151934,Paso Robles,290000,3,2,1426,Short Sale
151940,Santa Maria-Orcutt,170500,4,2,1361,Short Sale
151942,Atascadero,560000,3,3,2344,Short Sale
151952,Nipomo,339900,4,2,1925,Short Sale
151967,Nipomo,550000,4,3,2600,Short Sale
151991,San Miguel,269900,4,2,1601,Short Sale
151994,Paso Robles,350000,3,2,1395,Short Sale
151996,Los Osos,214000,2,2,1042,Foreclosure
152002,Santa Maria-Orcutt,299900,3,2,1200,Short Sale
152003,Nipomo,139500,2,2,1248,Foreclosure
152006,Lompoc,360000,4,3,3000,Short Sale
152014,Paso Robles,315000,3,2,1300,Short Sale
152019,Paso Robles,279900,3,2,1244,Foreclosure
152024,Paso Robles,399000,4,2,2139,Short Sale
152036,Atascadero,475000,4,3,2450,Short Sale
152037,Santa Maria-Orcutt,65900,2,2,840,Foreclosure
152048,Coalinga,212000,4,3,1878,Short Sale
152068,San Miguel,180000,3,2,1350,Short Sale
152075,Santa Maria-Orcutt,210000,4,2,1377,Short Sale
152078,Buellton,375000,3,3,1475,Short Sale
152109,Atascadero,106900,2,2,894,Foreclosure
152116,Paso Robles,221830,3,2,1550,Short Sale
152122,Nipomo,239000,3,2,1106,Short Sale
152131,Atascadero,187500,1,1,594,Short Sale
152137,Los Alamos,445000,5,3,3200,Short Sale
